[2024-01-25 16:30:36] [INFO    ] discord.client: logging in using static token
[2024-01-25 16:30:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'EchoEDU', 'mfa_enabled': True, 'id': '1198365903109238794', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7369', 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '84b39800dc874c2ca52769756fd7814f', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1198347724815335505'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['santa-clara', 'us-west', 'seattle', 'us-south', 'us-central'], 'current_location': ['US', 'US:CA'], 'auth': {}, 'application': {'id': '1198365903109238794', 'flags': 524288}, '_trace': ['["gateway-prd-us-east1-c-ct3m",{"micros":103361,"calls":["id_created",{"micros":1393,"calls":[]},"session_lookup_time",{"micros":5374,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-44",{"micros":95040,"calls":["start_session",{"micros":60245,"calls":["discord-api-7f4b545889-5c78p",{"micros":54825,"calls":["get_user",{"micros":22336},"get_guilds",{"micros":4453},"send_scheduled_deletion_message",{"micros":14},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":12}]}]},"starting_guild_connect",{"micros":58,"calls":[]},"presence_started",{"micros":13985,"calls":[]},"guilds_started",{"micros":110,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":20594,"calls":[]},"connect_finished",{"micros":20600,"calls":[]},"build_ready",{"micros":20,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":20,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2024-01-25 16:30:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-01-25 16:30:37] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 84b39800dc874c2ca52769756fd7814f).
[2024-01-25 16:30:37] [DEBUG   ] discord.client: Dispatching event connect
[2024-01-25 16:30:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'large': False, 'preferred_locale': 'en-US', 'nsfw_level': 0, 'members': [{'user': {'username': 'EchoEDU', 'public_flags': 0, 'id': '1198365903109238794', 'global_name': None, 'display_name': None, 'discriminator': '7369', 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1200217145087361058'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-25T23:14:26.541569+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}], 'afk_timeout': 300, 'soundboard_sounds': [], 'vanity_url_code': None, 'icon': None, 'premium_progress_bar_enabled': False, 'id': '1198347724815335505', 'home_header': None, 'member_count': 9, 'latest_onboarding_question_id': None, 'voice_states': [], 'name': 'EchoEDU', 'stickers': [], 'hub_type': None, 'owner_id': '852816321020166155', 'public_updates_channel_id': None, 'incidents_data': None, 'threads': [], 'application_command_counts': {}, 'max_members': 500000, 'premium_tier': 0, 'description': None, 'system_channel_id': '1198347725830373478', 'explicit_content_filter': 0, 'nsfw': False, 'max_stage_video_channel_users': 50, 'guild_scheduled_events': [], 'rules_channel_id': None, 'discovery_splash': None, 'banner': None, 'channels': [{'version': 1705778762066, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1198347725830373476', 'flags': 0}, {'version': 1705778762071, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1198347725830373477', 'flags': 0}, {'version': 1705778762080, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1198347725830373476', 'name': 'general', 'last_message_id': '1200235187389345943', 'id': '1198347725830373478', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1705778762086, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1198347725830373477', 'name': 'General', 'last_message_id': None, 'id': '1198347725830373479', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1705780002952, 'type': 4, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1198347724815335505', 'deny': '1049600', 'allow': '0'}], 'parent_id': None, 'name': 'Admin', 'id': '1198352930483470416', 'flags': 0}, {'version': 1705780012925, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1198347724815335505', 'deny': '1049600', 'allow': '0'}], 'parent_id': '1198352930483470416', 'nsfw': False, 'name': 'gitlog', 'last_message_id': '1198372146158780456', 'id': '1198352972317462718', 'flags': 0}], 'premium_subscription_count': 0, 'stage_instances': [], 'roles': [{'version': 1705778762057, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '559623605571137', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1198347724815335505', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1705778781803, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '8', 'name': 'admin', 'mentionable': False, 'managed': False, 'id': '1198347772097732758', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}, {'version': 1706224466462, 'unicode_emoji': None, 'tags': {'bot_id': '1198365903109238794'}, 'position': 1, 'permissions': '8', 'name': 'EchoEDU', 'mentionable': False, 'managed': True, 'id': '1200217145087361058', 'icon': None, 'hoist': False, 'flags': 0, 'color': 0}], 'default_message_notifications': 1, 'system_channel_flags': 0, 'safety_alerts_channel_id': None, 'afk_channel_id': None, 'splash': None, 'max_video_channel_users': 25, 'presences': [], 'region': 'deprecated', 'verification_level': 0, 'unavailable': False, 'joined_at': '2024-01-25T23:14:26.541569+00:00', 'application_id': None, 'version': 1705778810805, 'emojis': [], 'mfa_level': 0, 'embedded_activities': [], 'inventory_settings': None, 'lazy': True, 'features': []}}
[2024-01-25 16:30:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-01-25 16:30:37] [DEBUG   ] discord.client: Dispatching event guild_available
[2024-01-25 16:30:39] [DEBUG   ] discord.client: Dispatching event ready
[2024-01-25 16:30:39] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1198365903109238794/guilds/1198347724815335505/commands with [{"name":"ping","description":"Ping pong","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":null}] has returned 200
[2024-01-25 16:30:39] [DEBUG   ] discord.http: PUT /applications/{application_id}/guilds/{guild_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2024-01-25 16:30:39] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1198365903109238794/guilds/1198347724815335505/commands has received [{'id': '1200236326272905289', 'application_id': '1198365903109238794', 'version': '1200236326272905290', 'default_member_permissions': None, 'type': 1, 'name': 'ping', 'name_localizations': None, 'description': 'Ping pong', 'description_localizations': None, 'guild_id': '1198347724815335505', 'nsfw': False}]
[2024-01-25 16:30:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 3, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTIwMDIzNjM0Mzc2NzMzNTA4MzpKR0VQelNLdWRYTmFuR1hNSDlZQWhuMHh4UkE1TVJxU3hGWWFmMEVPbkdDN1QwOEMwb2JJd2ZRYW1WaWxzdEtsREY0dXZ2Z3lCTk11RlJCY3djbXZzQmxQb1BOR0JZU2EwS1JhSzlqVk9mREhVUDExdjNqd0x4MTM5RmNJbnBYZw', 'member': {'user': {'username': 'code_win', 'public_flags': 64, 'id': '671188855042474000', 'global_name': 'Code_Win', 'discriminator': '0', 'avatar_decoration_data': None, 'avatar': '64f2fb86561cf2953bdeaf5d514fb373'}, 'unusual_dm_activity_until': None, 'roles': ['1198347772097732758'], 'premium_since': None, 'permissions': '562949953421311', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-20T21:09:07.271000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'locale': 'en-US', 'id': '1200236343767335083', 'guild_locale': 'en-US', 'guild_id': '1198347724815335505', 'guild': {'locale': 'en-US', 'id': '1198347724815335505', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'ping', 'id': '1200236326272905289', 'guild_id': '1198347724815335505'}, 'channel_id': '1198347725830373478', 'channel': {'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '562949953421311', 'parent_id': '1198347725830373476', 'nsfw': False, 'name': 'general', 'last_message_id': '1200235187389345943', 'id': '1198347725830373478', 'icon_emoji': {'name': '👋', 'id': None}, 'guild_id': '1198347724815335505', 'flags': 0}, 'application_id': '1198365903109238794', 'app_permissions': '562949953421311'}}
[2024-01-25 16:30:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-01-25 16:30:43] [DEBUG   ] discord.client: Dispatching event interaction
[2024-01-25 16:30:43] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'webhook_id': '1198365903109238794', 'type': 20, 'tts': False, 'timestamp': '2024-01-26T00:30:43.913000+00:00', 'pinned': False, 'nonce': '1200236342819160064', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1200217145087361058'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-25T23:14:26.541569+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'interaction': {'user': {'username': 'code_win', 'public_flags': 64, 'id': '671188855042474000', 'global_name': 'Code_Win', 'discriminator': '0', 'avatar_decoration_data': None, 'avatar': '64f2fb86561cf2953bdeaf5d514fb373'}, 'type': 2, 'name': 'ping', 'member': {'roles': ['1198347772097732758'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-20T21:09:07.271000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '1200236343767335083'}, 'id': '1200236344799133896', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Pong! - 96', 'components': [], 'channel_id': '1198347725830373478', 'author': {'username': 'EchoEDU', 'public_flags': 0, 'premium_type': 0, 'id': '1198365903109238794', 'global_name': None, 'discriminator': '7369', 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1198365903109238794', 'guild_id': '1198347724815335505'}}
[2024-01-25 16:30:43] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-01-25 16:30:43] [DEBUG   ] discord.client: Dispatching event message
[2024-01-25 16:30:44] [DEBUG   ] discord.webhook.async_: Webhook ID 1200236343767335083 with POST https://discord.com/api/v10/interactions/1200236343767335083/aW50ZXJhY3Rpb246MTIwMDIzNjM0Mzc2NzMzNTA4MzpKR0VQelNLdWRYTmFuR1hNSDlZQWhuMHh4UkE1TVJxU3hGWWFmMEVPbkdDN1QwOEMwb2JJd2ZRYW1WaWxzdEtsREY0dXZ2Z3lCTk11RlJCY3djbXZzQmxQb1BOR0JZU2EwS1JhSzlqVk9mREhVUDExdjNqd0x4MTM5RmNJbnBYZw/callback has returned status code 204
[2024-01-25 16:30:44] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2024-01-25 16:30:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 5, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTIwMDIzNjM1MTYwNjUwNTU4MzpNTU9ibldsQzNCU0FCS0ZZdjU2ZWlGOGh0clpqenRkVVJoQk14dlgyOHE2NngydGFwN2hqS3RpZ0xINllSalJZZDhDTEtRWkxIUUpYWUx6M0FsckthTlFCMlhLTmhDcnBBeXBldVNuSmZLcldkdkhpU1pDWUltbjBPSmJsTVc2SQ', 'member': {'user': {'username': 'veryawesomer', 'public_flags': 128, 'id': '495815782522159134', 'global_name': 'Awesomer', 'discriminator': '0', 'avatar_decoration_data': None, 'avatar': '3954095e7a9c7eaf07eff2084f875930'}, 'unusual_dm_activity_until': None, 'roles': ['1198347772097732758'], 'premium_since': None, 'permissions': '562949953421311', 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-20T19:26:32.597000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'locale': 'en-US', 'id': '1200236351606505583', 'guild_locale': 'en-US', 'guild_id': '1198347724815335505', 'guild': {'locale': 'en-US', 'id': '1198347724815335505', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'ping', 'id': '1200236326272905289', 'guild_id': '1198347724815335505'}, 'channel_id': '1198347725830373478', 'channel': {'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '562949953421311', 'parent_id': '1198347725830373476', 'nsfw': False, 'name': 'general', 'last_message_id': '1200236344799133896', 'id': '1198347725830373478', 'icon_emoji': {'name': '👋', 'id': None}, 'guild_id': '1198347724815335505', 'flags': 0}, 'application_id': '1198365903109238794', 'app_permissions': '562949953421311'}}
[2024-01-25 16:30:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-01-25 16:30:45] [DEBUG   ] discord.client: Dispatching event interaction
[2024-01-25 16:30:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'webhook_id': '1198365903109238794', 'type': 20, 'tts': False, 'timestamp': '2024-01-26T00:30:45.740000+00:00', 'pinned': False, 'nonce': '1200236352541556736', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1200217145087361058'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-25T23:14:26.541569+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'interaction': {'user': {'username': 'veryawesomer', 'public_flags': 128, 'id': '495815782522159134', 'global_name': 'Awesomer', 'discriminator': '0', 'avatar_decoration_data': None, 'avatar': '3954095e7a9c7eaf07eff2084f875930'}, 'type': 2, 'name': 'ping', 'member': {'roles': ['1198347772097732758'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-01-20T19:26:32.597000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'avatar': None}, 'id': '1200236351606505583'}, 'id': '1200236352462139442', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Pong! - 96', 'components': [], 'channel_id': '1198347725830373478', 'author': {'username': 'EchoEDU', 'public_flags': 0, 'premium_type': 0, 'id': '1198365903109238794', 'global_name': None, 'discriminator': '7369', 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1198365903109238794', 'guild_id': '1198347724815335505'}}
[2024-01-25 16:30:45] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2024-01-25 16:30:45] [DEBUG   ] discord.client: Dispatching event message
[2024-01-25 16:30:45] [DEBUG   ] discord.webhook.async_: Webhook ID 1200236351606505583 with POST https://discord.com/api/v10/interactions/1200236351606505583/aW50ZXJhY3Rpb246MTIwMDIzNjM1MTYwNjUwNTU4MzpNTU9ibldsQzNCU0FCS0ZZdjU2ZWlGOGh0clpqenRkVVJoQk14dlgyOHE2NngydGFwN2hqS3RpZ0xINllSalJZZDhDTEtRWkxIUUpYWUx6M0FsckthTlFCMlhLTmhDcnBBeXBldVNuSmZLcldkdkhpU1pDWUltbjBPSmJsTVc2SQ/callback has returned status code 204
[2024-01-25 16:30:45] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2024-01-25 16:31:18] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:31:18] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:31:59] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:31:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:32:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:32:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:33:22] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:33:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:34:03] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:34:03] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:34:44] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:34:44] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:35:25] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:35:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:36:07] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:36:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:36:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:36:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2024-01-25 16:37:29] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 6.
[2024-01-25 16:37:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
